"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1994M06","Kevyt polttoöljy, eur/MWh",25.5,-4.5
"1994M07","Moottoribensiini 95 E 10, snt/l",76.5,-1.5
"1994M07","Dieselöljy, snt/l",60.9,17.5
"1994M07","Kevyt polttoöljy, snt/l",25.7,-5.0
"1994M07","Kevyt polttoöljy, eur/MWh",25.8,-5.1
"1994M08","Moottoribensiini 95 E 10, snt/l",79.1,2.8
"1994M08","Dieselöljy, snt/l",60.9,19.1
"1994M08","Kevyt polttoöljy, snt/l",25.2,-7.4
"1994M08","Kevyt polttoöljy, eur/MWh",25.3,-7.7
"1994M09","Moottoribensiini 95 E 10, snt/l",78.2,3.3
"1994M09","Dieselöljy, snt/l",60.4,19.7
"1994M09","Kevyt polttoöljy, snt/l",24.6,-10.4
"1994M09","Kevyt polttoöljy, eur/MWh",24.7,-10.2
"1994M10","Moottoribensiini 95 E 10, snt/l",77.4,0.9
"1994M10","Dieselöljy, snt/l",60.0,15.2
"1994M10","Kevyt polttoöljy, snt/l",24.2,-13.3
"1994M10","Kevyt polttoöljy, eur/MWh",24.3,-13.2
"1994M11","Moottoribensiini 95 E 10, snt/l",77.9,4.3
"1994M11","Dieselöljy, snt/l",60.2,14.4
"1994M11","Kevyt polttoöljy, snt/l",23.2,-18.3
"1994M11","Kevyt polttoöljy, eur/MWh",23.3,-18.5
"1994M12","Moottoribensiini 95 E 10, snt/l",76.0,3.4
"1994M12","Dieselöljy, snt/l",59.9,14.8
"1994M12","Kevyt polttoöljy, snt/l",23.0,-12.8
"1994M12","Kevyt polttoöljy, eur/MWh",23.1,-12.8
"1995M01","Moottoribensiini 95 E 10, snt/l",84.1,14.9
"1995M01","Dieselöljy, snt/l",62.9,20.2
"1995M01","Kevyt polttoöljy, snt/l",24.7,-9.3
"1995M01","Kevyt polttoöljy, eur/MWh",24.8,-9.5
